"V1" "V2" "V3" "V4" "V5"
"1" 0.172779807412075 0.0358356940315294 0.00140463696652449 0.470429621169567 0.00189544491966442
"2" 0.33226898843377 5.61607204851988e-07 0.242277602285031 0.0763856828031143 0.000387427860424117
"3" 0.491063479213665 0.054117656153753 0.0698680425720759 0.157196540197367 0.210143350312526
"4" 0.327025589389087 0.0254419007362237 0.28601588577877 0 0.266768370029327
"5" 0.069005071422757 0.485283645537502 0.0277999004971378 0.487961780645406 0.00376776956383229
"6" 0.467995369590468 0.0019784418048735 0.474086930599119 0 0.0264008982077586
"7" 0.0917675771842659 0.291555408388675 0.00324689448030757 0.00169810281570004 0.190003131836826
"8" 0.204049292629041 0.249188719711718 0.206196813940444 1.30012993393436e-06 0.00031945673991618
"9" 0.200897649127757 0.0238329189137114 5.0348351909868e-07 0.199413603444528 0.0964187671054492
"10" 0.00462626317760062 0.212613044960469 0.00679313544595572 0.174323023789832 0.334792866433193
