"V1" "V2" "V3" "V4" "V5"
"1" 0.0761230661940083 0.127046451807407 0.194488671507432 0.0635799716018141 0.0665123811487481
"2" 0.0403138720321849 0.0573494607513774 0.0689575934470717 0.167526198758245 0.0730380107178367
"3" 0.0933049766269436 0.0864943214844936 0.187558883806246 0.133349253350086 0.130155670525231
"4" 0.0769816208328939 0.164256998774161 0.176827277369805 0.0908580983160352 0.0993396956053696
"5" 0.083443822139402 0.126579820458074 0.0978180028175307 0.18906907399752 0.0955989705148254
"6" 0.118216750591467 0.107042009724072 0.185336075296231 0.0530341652669311 0.101011871483807
"7" 0.0441005805067614 0.173852875591758 0.0706270445118977 0.0568954588056639 0.155374941616059
"8" 0.0564048802815157 0.104222917875433 0.0790144835615343 0.0939558279652584 0.142624479890928
"9" 0.0971432538862106 0.0740618293732284 0.0986541685741322 0.186245785979318 0.0921451055682528
"10" 0.118447317842836 0.19408346607717 0.161594854083113 0.138581911094465 0.138189818189541
